Episode,Steps,Foods,C1,C2,Eat,Actor,Alpha,Reward,EatEps,PRBBeta,Stuck,OnFoodWaitMax
53,20,3,0.0,0.0,0.0,0.0,0.20000000298023224,-98.39999999999998,0.02,0.4,20,1
54,24,2,0.0,0.0,0.0,0.0,0.20000000298023224,-80.24000000000002,0.02,0.4,24,0
55,11,0,0.0,0.0,0.0,0.0,0.20000000298023224,-110.10999999999999,0.02,0.4,11,0
56,17,2,0.0,0.0,0.0,0.0,0.20000000298023224,-90.49999999999999,0.02,0.4,17,1
57,57,5,0.0,0.0,0.0,0.0,0.20000000298023224,-53.900000000000006,0.02,0.4,57,1
58,25,1,0.0,0.0,0.0,0.0,0.20000000298023224,-111.04999999999998,0.02,0.4,25,1
59,30,2,0.0,0.0,0.0,0.0,0.20000000298023224,-83.23999999999998,0.02,0.4,30,1
60,33,1,0.0,0.0,0.0,0.0,0.20000000298023224,-93.88,0.02,0.4,33,0
61,37,3,0.0,0.0,0.0,0.0,0.20000000298023224,-81.73,0.02,0.4,37,1
62,9,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.09,0.02,0.4,9,0
63,20,1,0.0,0.0,0.0,0.0,0.20000000298023224,-91.85999999999999,0.02,0.4,20,1
64,28,2,0.0,0.0,0.0,0.0,0.20000000298023224,-101.32,0.02,0.4,28,1
65,24,1,0.0,0.0,0.0,0.0,0.20000000298023224,-100.24000000000001,0.02,0.4,24,0
66,20,1,0.0,0.0,0.0,0.0,0.20000000298023224,-100.19999999999999,0.02,0.4,20,0
67,18,2,0.0,0.0,0.0,0.0,0.20000000298023224,-80.18,0.02,0.4,18,0
68,19,0,0.0,0.0,0.0,0.0,0.20000000298023224,-110.33999999999999,0.02,0.4,19,0
69,45,4,0.0,0.0,0.0,0.0,0.20000000298023224,-79.77,0.02,0.4,45,2
70,42,2,0.0,0.0,0.0,0.0,0.20000000298023224,-92.26999999999998,0.02,0.4,42,1
71,20,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.19999999999999,0.02,0.4,20,0
72,44,3,0.0,0.0,0.0,0.0,0.20000000298023224,-98.18999999999998,0.02,0.4,44,1
73,41,4,0.0,0.0,0.0,0.0,0.20000000298023224,-83.71999999999997,0.02,0.4,41,2
74,17,1,0.0,0.0,0.0,0.0,0.20000000298023224,-100.16999999999999,0.02,0.4,17,0
75,10,1,0.0,0.0,0.0,0.0,0.20000000298023224,-90.1,0.02,0.4,10,0
76,37,3,0.0,0.0,0.0,0.0,0.20000000298023224,-101.32,0.02,0.4,37,2
77,26,3,0.0,0.0,0.0,0.0,0.20000000298023224,-92.91999999999999,0.02,0.4,26,1
78,57,3,0.0,0.0,0.0,0.0,0.20000000298023224,-104.22,0.02,0.4,57,2
79,30,2,0.0,0.0,0.0,0.0,0.20000000298023224,-80.3,0.02,0.4,30,0
80,7,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.07,0.02,0.4,7,0
81,21,2,0.0,0.0,0.0,0.0,0.20000000298023224,-90.00999999999999,0.02,0.4,21,1
82,40,7,0.0,0.0,0.0,0.0,0.20000000298023224,-52.8,0.02,0.4,40,1
83,22,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.82,0.02,0.4,22,1
84,21,1,0.0,0.0,0.0,0.0,0.20000000298023224,-92.44999999999999,0.02,0.4,21,1
85,24,3,0.0,0.0,0.0,0.0,0.20000000298023224,-90.52000000000001,0.02,0.4,24,1
